Pool_ID,floodedat,shading,treatment
13,6.44,Shade,Control
2,7.57,Shade,Control
467,8.22,Shade,Control
472,11.27,Shade,Control
489,8.22,Shade,Control
5,9.05,Shade,Control
511,5.87,Shade,Control
559,5.40,Shade,Control
630,12.66,Shade,Control
65,11.27,Shade,Control
121,5.40,Sun,Control
180,5.40,Sun,Control
288,8.22,Sun,Control
291,7.57,Sun,Control
323,6.96,Sun,Control
329,10.18,Sun,Control
399,5.87,Sun,Control
48,5.40,Sun,Control
75,6.96,Sun,Control
76,6.96,Sun,Control
146,5.40,Shade,Duckweed
159,9.05,Shade,Duckweed
241,5.87,Shade,Duckweed
469,8.22,Shade,Duckweed
487,7.07,Shade,Duckweed
533,7.57,Shade,Duckweed
60,16.69,Shade,Duckweed
61,12.66,Shade,Duckweed
62,12.66,Shade,Duckweed
652,5.87,Shade,Duckweed
123,5.40,Sun,Duckweed
126,5.40,Sun,Duckweed
134,5.87,Sun,Duckweed
135,6.96,Sun,Duckweed
281,6.96,Sun,Duckweed
310,9.05,Sun,Duckweed
47,5.87,Sun,Duckweed
622,5.40,Sun,Duckweed
687,8.22,Sun,Duckweed
89,7.57,Sun,Duckweed
