Date_Collected,Obs,Pool_ID,Time_Collected,Institution,Silver_Tag,Length,Width,Depth_1,Depth_2,Depth_3,Depth_4,Depth_Avg,Lip_1,Lip_2,Lip_3,Lip_4,Lip_Avg,Surface_Area,Volume,EmgVeg,PCT_EmgVeg,SAV,PCT_SAV,Hydrilla,PCT_Hydrilla,Bottom_Type,Canopy,Fish_Visible,FishSpp,Dragonfly_Exuvia,Total_Richness,Simpson_Index,Shannon_Index,Chao_Estimate,Notes,Physid_Snail,Pleurocerid_Snail,Viviparid_Snail,Planorbid_Snail,Other_Snail,Asian_Clam,Pea_Clam,Leech,Worm,Flatworm,Nematode,Bloodworm,Mosquito,Other_Dipteran,Water_Scavenger_Beetle,Predacious_Diving_Beetle,Crawling_Water_Beetle,Whirligig_Beetle,Riffle_Beetle,Other_Beetle,Water_Boatman,Backswimmer,Water_Bug,Water_Strider,Skimmer_Dragonfly,Darner_Dragonfly,Other_Dragonfly,Caddisfly,Stonefly,Damselfly,Small_Squaregill_Mayfly,Small_Minnow_Mayfly,Other_Mayfly,Water_Mite,Spiders,Aquatic_Sow_Bug,Sideswimmer,Crayfish,Tadpoles,Fish,Other_Individuals,Other_SppID,duck,Treatment
2021-07-14,Phoebe LaMountain,2,9:59,VCURESEARCH,NA,81,69,4,6,2,4,4,18,15,13,8,13.5,4389.59,17558.36,1,90,0,0,0,0,ORGANIC,Closed,0,NA,0,7,0.677083,1.394684,NA,NA,9,1,0,0,0,0,0,0,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,1,control
2021-08-02,JTA,2,9:30,VCURESEARCH,NA,89,72,9,5,6,8,7,9,17,1,11,9.5,5032.831,35229.82,1,80,0,0,0,0,SAND,Partial,0,NA,0,2,0.399524,0.589003,NA,NA,16,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20 Aedes, 20 Aedes",1,control
2021-08-02,JTA,2,9:30,VCURESEARCH,NA,89,72,9,5,6,8,7,9,17,1,11,9.5,5032.831,35229.82,1,80,0,0,0,0,SAND,Partial,0,NA,0,2,0.399524,0.589003,NA,NA,16,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20 Aedes, 20 Aedes",1,control
2021-07-14,Phoebe LaMountain,5,9:03,VCURESEARCH,NA,44,52,29,20,16,10,18.75,40,29,9,15,23.25,1796.991,32345.84,0,0,1,10,0,0,SM_STONE,Closed,0,NA,0,4,0.157118,0.373479,NA,I think the submerged vegetation is water celery,44,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,control
2021-08-02,JTA,5,8:58,VCURESEARCH,NA,59,46,30,16,16,10,18,34,26,8,4,18,2131.571,38368.27,0,0,1,20,NA,0,SM_STONE,Partial,0,NA,0,6,0.5536,1.149677,NA,NA,32,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 Aedes,1,control
2021-08-02,JTA,13,9:15,VCURESEARCH,NA,93,48,22,24,25,27,24.5,11,20,25,0,14,3506.017,84144.42,1,10,0,0,0,0,ROCK,Partial,0,NA,0,1,0,0,NA,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,control
2021-07-14,MT,47,9:07,VCURESEARCH,NA,79,59,14,19,7,10,12.5,23.5,21,4,6,13.625,3660.741,43928.89,0,0,1,10,0,0,LG_STONE,Open,0,NA,0,6,0.805556,1.704551,NA,NA,2,0,0,0,0,0,0,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,duckweed
2021-08-02,Bm,47,11:03,VCURESEARCH,NA,84,39,24,18,15,10,16.75,12,4,2,20,9.5,2572.964,41167.43,0,0,0,0,0,0,LG_STONE,Open,0,NA,1,3,0.635417,1.050572,NA,NA,11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,duckweed
2021-07-14,MT,48,9:32,VCURESEARCH,NA,67,42.5,29.5,21,31,27.5,27.25,10.5,17,4,12,10.875,2210.11,59672.98,0,0,0,0,0,0,LG_STONE,Open,0,NA,0,6,0.277922,0.654165,NA,NA,0,0,3,0,0,0,0,0,1,6,0,4,88,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes 90% culex 10%,1,control
2021-08-02,Bm,48,10:39,VCURESEARCH,NA,71,48,32,31,24,23,27.5,6,1,7,8,5.5,2676.637,72269.2,0,0,0,0,NA,0,LG_STONE,Open,0,NA,0,8,0.717067,1.571406,NA,NA,22,1,7,0,1,0,0,0,4,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 limpet,1,control
